path	mode	verdict	state	exit	terminal_stage	detail
examples/arrays/arrays.go	oracle	pass	complete	0	run	
examples/arrays/arrays.go	interpreted	fail_mismatch	complete	1	run	unregistered bridge type "[...]int"
examples/arrays/arrays.go	compiled	pass	complete	0	run	
examples/atomic-counters/atomic-counters.go	oracle	pass	complete	0	run	
examples/atomic-counters/atomic-counters.go	interpreted	pass	complete	0	run	
examples/atomic-counters/atomic-counters.go	compiled	pass	complete	0	run	
examples/base64-encoding/base64-encoding.go	oracle	pass	complete	0	run	
examples/base64-encoding/base64-encoding.go	interpreted	fail_mismatch	complete	1	run	gosource: native slice retention or mutation is unsupported for *encoding/base64.Encoding.EncodeToString
examples/base64-encoding/base64-encoding.go	compiled	pass	complete	0	run	
examples/channel-buffering/channel-buffering.go	oracle	pass	complete	0	run	
examples/channel-buffering/channel-buffering.go	interpreted	pass	complete	0	run	
examples/channel-buffering/channel-buffering.go	compiled	pass	complete	0	run	
examples/channel-directions/channel-directions.go	oracle	pass	complete	0	run	
examples/channel-directions/channel-directions.go	interpreted	pass	complete	0	run	
examples/channel-directions/channel-directions.go	compiled	pass	complete	0	run	
examples/channel-synchronization/channel-synchronization.go	oracle	pass	complete	0	run	
examples/channel-synchronization/channel-synchronization.go	interpreted	pass	complete	0	run	
examples/channel-synchronization/channel-synchronization.go	compiled	pass	complete	0	run	
examples/channels/channels.go	oracle	pass	complete	0	run	
examples/channels/channels.go	interpreted	pass	complete	0	run	
examples/channels/channels.go	compiled	pass	complete	0	run	
examples/closing-channels/closing-channels.go	oracle	pass	complete	0	run	
examples/closing-channels/closing-channels.go	interpreted	pass	complete	0	run	
examples/closing-channels/closing-channels.go	compiled	pass	complete	0	run	
examples/closures/closures.go	oracle	pass	complete	0	run	
examples/closures/closures.go	interpreted	pass	complete	0	run	
examples/closures/closures.go	compiled	pass	complete	0	run	
examples/command-line-arguments/command-line-arguments.go	oracle	pass	complete	0	run	
examples/command-line-arguments/command-line-arguments.go	interpreted	pass	complete	0	run	
examples/command-line-arguments/command-line-arguments.go	compiled	pass	complete	0	run	
examples/command-line-flags/command-line-flags.go	oracle	pass	complete	0	run	
examples/command-line-flags/command-line-flags.go	interpreted	fail_mismatch	complete	1	run	gosource: dependency mutation of interpreter-owned references is unsupported for __gosource_import_0_0.StringVar
examples/command-line-flags/command-line-flags.go	compiled	pass	complete	0	run	
examples/command-line-subcommands/command-line-subcommands.go	oracle	pass	complete	0	run	
