path	mode	verdict	state	exit
examples/arrays/arrays.go	oracle	pass	complete	0
examples/arrays/arrays.go	interpreted	fail_mismatch	complete	1
examples/arrays/arrays.go	compiled	pass	complete	0
examples/atomic-counters/atomic-counters.go	oracle	pass	complete	0
examples/atomic-counters/atomic-counters.go	interpreted	fail_mismatch	complete	1
examples/atomic-counters/atomic-counters.go	compiled	pass	complete	0
examples/base64-encoding/base64-encoding.go	oracle	pass	complete	0
examples/base64-encoding/base64-encoding.go	interpreted	fail_mismatch	complete	1
examples/base64-encoding/base64-encoding.go	compiled	pass	complete	0
examples/channel-buffering/channel-buffering.go	oracle	pass	complete	0
examples/channel-buffering/channel-buffering.go	interpreted	pass	complete	0
examples/channel-buffering/channel-buffering.go	compiled	pass	complete	0
examples/channel-directions/channel-directions.go	oracle	pass	complete	0
examples/channel-directions/channel-directions.go	interpreted	pass	complete	0
examples/channel-directions/channel-directions.go	compiled	pass	complete	0
examples/channel-synchronization/channel-synchronization.go	oracle	pass	complete	0
examples/channel-synchronization/channel-synchronization.go	interpreted	pass	complete	0
examples/channel-synchronization/channel-synchronization.go	compiled	pass	complete	0
examples/channels/channels.go	oracle	pass	complete	0
examples/channels/channels.go	interpreted	pass	complete	0
examples/channels/channels.go	compiled	pass	complete	0
examples/closing-channels/closing-channels.go	oracle	pass	complete	0
examples/closing-channels/closing-channels.go	interpreted	pass	complete	0
examples/closing-channels/closing-channels.go	compiled	pass	complete	0
examples/closures/closures.go	oracle	pass	complete	0
examples/closures/closures.go	interpreted	pass	complete	0
examples/closures/closures.go	compiled	pass	complete	0
examples/command-line-arguments/command-line-arguments.go	oracle	pass	complete	0
examples/command-line-arguments/command-line-arguments.go	interpreted	pass	complete	0
examples/command-line-arguments/command-line-arguments.go	compiled	pass	complete	0
examples/command-line-flags/command-line-flags.go	oracle	pass	complete	0
examples/command-line-flags/command-line-flags.go	interpreted	fail_mismatch	complete	1
examples/command-line-flags/command-line-flags.go	compiled	pass	complete	0
examples/command-line-subcommands/command-line-subcommands.go	oracle	pass	complete	0
examples/command-line-subcommands/command-line-subcommands.go	interpreted	fail_mismatch	complete	1
examples/command-line-subcommands/command-line-subcommands.go	compiled	pass	complete	0
examples/constants/constants.go	oracle	pass	complete	0
examples/constants/constants.go	interpreted	pass	complete	0
examples/constants/constants.go	compiled	pass	complete	0
examples/context/context.go	oracle	pass	complete	143
examples/context/context.go	interpreted	fail_mismatch	complete	1
examples/context/context.go	compiled	pass	complete	143
examples/custom-errors/custom-errors.go	oracle	pass	complete	0
examples/custom-errors/custom-errors.go	interpreted	fail_mismatch	complete	1
examples/custom-errors/custom-errors.go	compiled	pass	complete	0
examples/defer/defer.go	oracle	pass	complete	0
examples/defer/defer.go	interpreted	pass	complete	0
examples/defer/defer.go	compiled	pass	complete	0
examples/directories/directories.go	oracle	pass	complete	0
examples/directories/directories.go	interpreted	fail_mismatch	complete	2
examples/directories/directories.go	compiled	pass	complete	0
examples/embed-directive/embed-directive.go	oracle	pass	complete	0
examples/embed-directive/embed-directive.go	interpreted	fail_mismatch	complete	1
examples/embed-directive/embed-directive.go	compiled	pass	complete	0
examples/enums/enums.go	oracle	pass	complete	0
examples/enums/enums.go	interpreted	fail_mismatch	complete	2
examples/enums/enums.go	compiled	pass	complete	0
examples/environment-variables/environment-variables.go	oracle	pass	complete	0
examples/environment-variables/environment-variables.go	interpreted	pass	complete	0
examples/environment-variables/environment-variables.go	compiled	pass	complete	0
examples/epoch/epoch.go	oracle	pass	complete	0
examples/epoch/epoch.go	interpreted	pass	complete	0
examples/epoch/epoch.go	compiled	pass	complete	0
examples/errors/errors.go	oracle	pass	complete	0
examples/errors/errors.go	interpreted	fail_mismatch	complete	2
examples/errors/errors.go	compiled	pass	complete	0
examples/execing-processes/execing-processes.go	oracle	pass	complete	0
examples/execing-processes/execing-processes.go	interpreted	fail_mismatch	complete	1
examples/execing-processes/execing-processes.go	compiled	pass	complete	0
examples/exit/exit.go	oracle	pass	complete	3
examples/exit/exit.go	interpreted	pass	complete	3
examples/exit/exit.go	compiled	pass	complete	3
examples/file-paths/file-paths.go	oracle	pass	complete	0
examples/file-paths/file-paths.go	interpreted	pass	complete	0
examples/file-paths/file-paths.go	compiled	pass	complete	0
examples/for/for.go	oracle	pass	complete	0
examples/for/for.go	interpreted	pass	complete	0
examples/for/for.go	compiled	pass	complete	0
examples/functions/functions.go	oracle	pass	complete	0
examples/functions/functions.go	interpreted	pass	complete	0
examples/functions/functions.go	compiled	pass	complete	0
examples/generics/generics.go	oracle	pass	complete	0
examples/generics/generics.go	interpreted	fail_mismatch	complete	2
examples/generics/generics.go	compiled	pass	complete	0
examples/goroutines/goroutines.go	oracle	pass	complete	0
examples/goroutines/goroutines.go	interpreted	pass	complete	0
examples/goroutines/goroutines.go	compiled	pass	complete	0
examples/hello-world/hello-world.go	oracle	pass	complete	0
examples/hello-world/hello-world.go	interpreted	pass	complete	0
examples/hello-world/hello-world.go	compiled	pass	complete	0
examples/http-client/http-client.go	oracle	pass	complete	0
examples/http-client/http-client.go	interpreted	pass	complete	0
examples/http-client/http-client.go	compiled	pass	complete	0
examples/http-server/http-server.go	oracle	pass	complete	143
examples/http-server/http-server.go	interpreted	fail_mismatch	complete	1
examples/http-server/http-server.go	compiled	pass	complete	143
examples/if-else/if-else.go	oracle	pass	complete	0
examples/if-else/if-else.go	interpreted	pass	complete	0
examples/if-else/if-else.go	compiled	pass	complete	0
examples/interfaces/interfaces.go	oracle	pass	complete	0
examples/interfaces/interfaces.go	interpreted	pass	complete	0
examples/interfaces/interfaces.go	compiled	pass	complete	0
examples/json/json.go	oracle	pass	complete	0
examples/json/json.go	interpreted	fail_mismatch	complete	1
examples/json/json.go	compiled	pass	complete	0
examples/line-filters/line-filters.go	oracle	pass	complete	0
examples/line-filters/line-filters.go	interpreted	pass	complete	0
examples/line-filters/line-filters.go	compiled	pass	complete	0
examples/logging/logging.go	oracle	pass	complete	0
examples/logging/logging.go	interpreted	fail_mismatch	complete	1
examples/logging/logging.go	compiled	pass	complete	0
examples/maps/maps.go	oracle	pass	complete	0
examples/maps/maps.go	interpreted	fail_mismatch	complete	2
examples/maps/maps.go	compiled	pass	complete	0
examples/methods/methods.go	oracle	pass	complete	0
examples/methods/methods.go	interpreted	pass	complete	0
examples/methods/methods.go	compiled	pass	complete	0
examples/multiple-return-values/multiple-return-values.go	oracle	pass	complete	0
examples/multiple-return-values/multiple-return-values.go	interpreted	pass	complete	0
examples/multiple-return-values/multiple-return-values.go	compiled	pass	complete	0
examples/mutexes/mutexes.go	oracle	pass	complete	0
examples/mutexes/mutexes.go	interpreted	fail_mismatch	complete	1
examples/mutexes/mutexes.go	compiled	pass	complete	0
examples/non-blocking-channel-operations/non-blocking-channel-operations.go	oracle	pass	complete	0
examples/non-blocking-channel-operations/non-blocking-channel-operations.go	interpreted	pass	complete	0
examples/non-blocking-channel-operations/non-blocking-channel-operations.go	compiled	pass	complete	0
examples/number-parsing/number-parsing.go	oracle	pass	complete	0
examples/number-parsing/number-parsing.go	interpreted	pass	complete	0
examples/number-parsing/number-parsing.go	compiled	pass	complete	0
examples/panic/panic.go	oracle	pass	complete	2
examples/panic/panic.go	interpreted	fail_mismatch	complete	2
examples/panic/panic.go	compiled	pass	complete	2
examples/pointers/pointers.go	oracle	pass	complete	0
examples/pointers/pointers.go	interpreted	fail_mismatch	complete	2
examples/pointers/pointers.go	compiled	pass	complete	0
examples/random-numbers/random-numbers.go	oracle	pass	complete	0
examples/random-numbers/random-numbers.go	interpreted	pass	complete	0
examples/random-numbers/random-numbers.go	compiled	pass	complete	0
examples/range-over-built-in-types/range-over-built-in-types.go	oracle	pass	complete	0
examples/range-over-built-in-types/range-over-built-in-types.go	interpreted	pass	complete	0
examples/range-over-built-in-types/range-over-built-in-types.go	compiled	pass	complete	0
examples/range-over-channels/range-over-channels.go	oracle	pass	complete	0
examples/range-over-channels/range-over-channels.go	interpreted	pass	complete	0
examples/range-over-channels/range-over-channels.go	compiled	pass	complete	0
examples/range-over-iterators/range-over-iterators.go	oracle	pass	complete	0
examples/range-over-iterators/range-over-iterators.go	interpreted	fail_mismatch	complete	2
examples/range-over-iterators/range-over-iterators.go	compiled	pass	complete	0
examples/rate-limiting/rate-limiting.go	oracle	pass	complete	0
examples/rate-limiting/rate-limiting.go	interpreted	fail_normalization	complete	2
examples/rate-limiting/rate-limiting.go	compiled	pass	complete	0
examples/reading-files/reading-files.go	oracle	pass	complete	0
examples/reading-files/reading-files.go	interpreted	fail_mismatch	complete	1
examples/reading-files/reading-files.go	compiled	pass	complete	0
examples/recover/recover.go	oracle	pass	complete	0
examples/recover/recover.go	interpreted	fail_mismatch	complete	2
examples/recover/recover.go	compiled	pass	complete	0
examples/recursion/recursion.go	oracle	pass	complete	0
examples/recursion/recursion.go	interpreted	fail_mismatch	complete	2
examples/recursion/recursion.go	compiled	pass	complete	0
examples/regular-expressions/regular-expressions.go	oracle	pass	complete	0
examples/regular-expressions/regular-expressions.go	interpreted	fail_mismatch	complete	1
examples/regular-expressions/regular-expressions.go	compiled	pass	complete	0
examples/select/select.go	oracle	pass	complete	0
examples/select/select.go	interpreted	fail_mismatch	complete	0
examples/select/select.go	compiled	pass	complete	0
examples/sha256-hashes/sha256-hashes.go	oracle	pass	complete	0
examples/sha256-hashes/sha256-hashes.go	interpreted	fail_mismatch	complete	1
examples/sha256-hashes/sha256-hashes.go	compiled	pass	complete	0
examples/signals/signals.go	oracle	pass	complete	0
examples/signals/signals.go	interpreted	fail_mismatch	complete	2
examples/signals/signals.go	compiled	pass	complete	0
examples/slices/slices.go	oracle	pass	complete	0
examples/slices/slices.go	interpreted	fail_mismatch	complete	2
examples/slices/slices.go	compiled	pass	complete	0
examples/sorting-by-functions/sorting-by-functions.go	oracle	pass	complete	0
examples/sorting-by-functions/sorting-by-functions.go	interpreted	fail_mismatch	complete	1
examples/sorting-by-functions/sorting-by-functions.go	compiled	pass	complete	0
examples/sorting/sorting.go	oracle	pass	complete	0
examples/sorting/sorting.go	interpreted	fail_mismatch	complete	1
examples/sorting/sorting.go	compiled	pass	complete	0
examples/spawning-processes/spawning-processes.go	oracle	pass	complete	0
examples/spawning-processes/spawning-processes.go	interpreted	fail_normalization	complete	1
examples/spawning-processes/spawning-processes.go	compiled	pass	complete	0
examples/stateful-goroutines/stateful-goroutines.go	oracle	pass	complete	0
examples/stateful-goroutines/stateful-goroutines.go	interpreted	fail_normalization	complete	1
examples/stateful-goroutines/stateful-goroutines.go	compiled	pass	complete	0
examples/string-formatting/string-formatting.go	oracle	pass	complete	0
examples/string-formatting/string-formatting.go	interpreted	pass	complete	0
examples/string-formatting/string-formatting.go	compiled	pass	complete	0
examples/string-functions/string-functions.go	oracle	pass	complete	0
examples/string-functions/string-functions.go	interpreted	pass	complete	0
examples/string-functions/string-functions.go	compiled	pass	complete	0
examples/strings-and-runes/strings-and-runes.go	oracle	pass	complete	0
examples/strings-and-runes/strings-and-runes.go	interpreted	fail_mismatch	complete	1
examples/strings-and-runes/strings-and-runes.go	compiled	pass	complete	0
examples/struct-embedding/struct-embedding.go	oracle	pass	complete	0
