# Bridge-exposed Go standard library inventory, derived from sh.
# Every row is one entry of the reviewed go127StdlibImports inventory
# (sh/syntax/go127stdlib_generated.go), classified by the runtime rules
# of sh/interp/bashpp_eval.go under the pinned toolchain on this host.
#
# sh_commit	156bd4eea1ff695e0df2245fbdb499090699beb2
# sh_bridge_files_dirty	0
# go_release	go1.27.0
# goos	darwin
# goarch	arm64
# go_bin_sha256	a19a71df81715c12d9a7e81bab036c12696fec1ddbd4258b48a2131a9080b267
# go_src_tree_sha256	636d109763f0fe3e45347b74e07a0e00a1ca6a90b6130564b09ed8a04804d942
# inventory_list_sha256	de444f71390a90f274b5176d8da92480ab72e2992d8885823712cd927e289f6c
# inventory_rows	180
# data_sha256	a59a535e4418a4332d0087e3e39878495705aefc7798da0facccb6c1858486c5
# generated_by	tools/bridge-corpus/derive-stdlib.sh
#
# path	go_list_name	standard	go_files	cgo_files	ignored_files	incomplete	err_len	capability	policy	list_error
flag	flag	1	1	0	0	0	0	reviewed-stdlib	toolchain	
fmt	fmt	1	5	0	0	0	0	reviewed-stdlib	toolchain	
go/ast	ast	1	9	0	0	0	0	reviewed-stdlib	toolchain	
go/build	build	1	4	0	1	0	0	reviewed-stdlib	toolchain	
go/build/constraint	constraint	1	2	0	0	0	0	reviewed-stdlib	toolchain	
go/constant	constant	1	2	0	0	0	0	reviewed-stdlib	toolchain	
go/doc	doc	1	7	0	1	0	0	reviewed-stdlib	toolchain	
go/doc/comment	comment	1	7	0	0	0	0	reviewed-stdlib	toolchain	
go/format	format	1	2	0	0	0	0	reviewed-stdlib	toolchain	
go/importer	importer	1	1	0	0	0	0	reviewed-stdlib	toolchain	
go/parser	parser	1	3	0	0	0	0	reviewed-stdlib	toolchain	
go/printer	printer	1	5	0	0	0	0	reviewed-stdlib	toolchain	
go/scanner	scanner	1	2	0	0	0	0	reviewed-stdlib	toolchain	
go/token	token	1	4	0	0	0	0	reviewed-stdlib	toolchain	
go/types	types	1	75	0	1	0	0	reviewed-stdlib	toolchain	
go/version	version	1	1	0	0	0	0	reviewed-stdlib	toolchain	
hash	hash	1	1	0	0	0	0	reviewed-stdlib	toolchain	
hash/adler32	adler32	1	1	0	0	0	0	reviewed-stdlib	toolchain	
hash/crc32	crc32	1	4	0	6	0	0	reviewed-stdlib	toolchain	
hash/crc64	crc64	1	1	0	0	0	0	reviewed-stdlib	toolchain	
hash/fnv	fnv	1	1	0	0	0	0	reviewed-stdlib	toolchain	
hash/maphash	maphash	1	2	0	0	0	0	reviewed-stdlib	toolchain	
html	html	1	2	0	0	0	0	reviewed-stdlib	toolchain	
html/template	template	1	18	0	0	0	0	reviewed-stdlib	toolchain	
image	image	1	5	0	0	0	0	reviewed-stdlib	toolchain	
image/color	color	1	2	0	0	0	0	reviewed-stdlib	toolchain	
image/color/palette	palette	1	2	0	1	0	0	reviewed-stdlib	toolchain	
image/draw	draw	1	1	0	0	0	0	reviewed-stdlib	toolchain	
image/gif	gif	1	2	0	0	0	0	reviewed-stdlib	toolchain	
image/jpeg	jpeg	1	5	0	0	0	0	reviewed-stdlib	toolchain	
image/png	png	1	3	0	0	0	0	reviewed-stdlib	toolchain	
index/suffixarray	suffixarray	1	3	0	1	0	0	reviewed-stdlib	toolchain	
io	io	1	3	0	0	0	0	reviewed-stdlib	toolchain	
io/fs	fs	1	9	0	0	0	0	reviewed-stdlib	toolchain	
io/ioutil	ioutil	1	2	0	0	0	0	reviewed-stdlib	toolchain	
iter	iter	1	1	0	0	0	0	reviewed-stdlib	toolchain	
log	log	1	1	0	0	0	0	reviewed-stdlib	toolchain	
log/slog	slog	1	10	0	0	0	0	reviewed-stdlib	toolchain	
log/syslog	syslog	1	3	0	0	0	0	reviewed-stdlib	toolchain	
maps	maps	1	2	0	0	0	0	reviewed-stdlib	toolchain	
math	math	1	52	0	10	0	0	reviewed-stdlib	toolchain	
math/big	big	1	22	0	6	0	0	reviewed-stdlib	toolchain	
math/bits	bits	1	3	0	3	0	0	reviewed-stdlib	toolchain	
math/cmplx	cmplx	1	14	0	0	0	0	reviewed-stdlib	toolchain	
math/rand	rand	1	5	0	1	0	0	reviewed-stdlib	toolchain	
math/rand/v2	rand	1	6	0	0	0	0	reviewed-stdlib	toolchain	
mime	mime	1	5	0	5	0	0	reviewed-stdlib	toolchain	
mime/multipart	multipart	1	4	0	0	0	0	reviewed-stdlib	toolchain	
mime/quotedprintable	quotedprintable	1	2	0	0	0	0	reviewed-stdlib	toolchain	
net	net	1	65	0	105	0	0	reviewed-stdlib	toolchain	
net/http	http	1	29	0	4	0	0	reviewed-stdlib	toolchain	
net/http/cgi	cgi	1	3	0	0	0	0	reviewed-stdlib	toolchain	
net/http/cookiejar	cookiejar	1	2	0	0	0	0	reviewed-stdlib	toolchain	
net/http/fcgi	fcgi	1	2	0	0	0	0	reviewed-stdlib	toolchain	
net/http/httptest	httptest	1	3	0	0	0	0	reviewed-stdlib	toolchain	
net/http/httptrace	httptrace	1	1	0	0	0	0	reviewed-stdlib	toolchain	
net/http/httputil	httputil	1	4	0	0	0	0	reviewed-stdlib	toolchain	
net/http/pprof	pprof	1	1	0	0	0	0	reviewed-stdlib	toolchain	
net/mail	mail	1	1	0	0	0	0	reviewed-stdlib	toolchain	
net/netip	netip	1	2	0	0	0	0	reviewed-stdlib	toolchain	
net/rpc	rpc	1	3	0	0	0	0	reviewed-stdlib	toolchain	
net/rpc/jsonrpc	jsonrpc	1	2	0	0	0	0	reviewed-stdlib	toolchain	
net/smtp	smtp	1	2	0	0	0	0	reviewed-stdlib	toolchain	
net/textproto	textproto	1	5	0	0	0	0	reviewed-stdlib	toolchain	
net/url	url	1	2	0	1	0	0	reviewed-stdlib	toolchain	
os	os	1	44	0	92	0	0	reviewed-stdlib	toolchain	
os/exec	exec	1	4	0	11	0	0	reviewed-stdlib	toolchain	
os/signal	signal	1	3	0	4	0	0	reviewed-stdlib	toolchain	
os/user	user	1	6	0	12	0	0	reviewed-stdlib	toolchain	
path	path	1	2	0	0	0	0	reviewed-stdlib	toolchain	
path/filepath	filepath	1	5	0	6	0	0	reviewed-stdlib	toolchain	
plugin	plugin	1	1	1	1	0	0	cgo	refuse	
reflect	reflect	1	11	0	4	0	0	reviewed-stdlib	toolchain	
regexp	regexp	1	4	0	0	0	0	reviewed-stdlib	toolchain	
regexp/syntax	syntax	1	8	0	0	0	0	reviewed-stdlib	toolchain	
runtime	runtime	1	182	0	298	0	0	reviewed-stdlib	toolchain	
runtime/coverage	coverage	1	1	0	0	0	0	reviewed-stdlib	toolchain	
runtime/debug	debug	1	4	0	0	0	0	reviewed-stdlib	toolchain	
runtime/metrics	metrics	1	5	0	0	0	0	reviewed-stdlib	toolchain	
runtime/pprof	pprof	1	13	0	6	0	0	reviewed-stdlib	toolchain	
runtime/race	race	1	1	0	13	0	0	reviewed-stdlib	toolchain	
runtime/trace	trace	1	7	0	0	0	0	reviewed-stdlib	toolchain	
slices	slices	1	5	0	0	0	0	reviewed-stdlib	toolchain	
sort	sort	1	5	0	1	0	0	reviewed-stdlib	toolchain	
strconv	strconv	1	5	0	2	0	0	reviewed-stdlib	toolchain	
strings	strings	1	8	0	0	0	0	reviewed-stdlib	toolchain	
structs	structs	1	2	0	0	0	0	reviewed-stdlib	toolchain	
sync	sync	1	11	0	1	0	0	reviewed-stdlib	toolchain	
sync/atomic	atomic	1	4	0	1	0	0	reviewed-stdlib	toolchain	
syscall	syscall	1	30	0	249	0	0	reviewed-stdlib	toolchain	
syscall/js	-	1	0	0	4	1	132	not-buildable	refuse	build constraints exclude all Go files in /Users/qiangli/go/pkg/mod/golang.org/toolchain@v0.0.1-go1.27.0.darwin-arm64/src/syscall/js
testing	testing	1	10	0	3	0	0	reviewed-stdlib	toolchain	
testing/cryptotest	cryptotest	1	1	0	0	0	0	reviewed-stdlib	toolchain	
testing/fstest	fstest	1	2	0	0	0	0	reviewed-stdlib	toolchain	
testing/iotest	iotest	1	3	0	0	0	0	reviewed-stdlib	toolchain	
testing/quick	quick	1	1	0	0	0	0	reviewed-stdlib	toolchain	
testing/slogtest	slogtest	1	1	0	0	0	0	reviewed-stdlib	toolchain	
testing/synctest	synctest	1	1	0	0	0	0	reviewed-stdlib	toolchain	
text/scanner	scanner	1	1	0	0	0	0	reviewed-stdlib	toolchain	
text/tabwriter	tabwriter	1	1	0	0	0	0	reviewed-stdlib	toolchain	
text/template	template	1	6	0	0	0	0	reviewed-stdlib	toolchain	
text/template/parse	parse	1	3	0	0	0	0	reviewed-stdlib	toolchain	
time	time	1	10	0	15	0	0	reviewed-stdlib	toolchain	
time/tzdata	tzdata	1	2	0	0	0	0	reviewed-stdlib	toolchain	
unicode	unicode	1	5	0	0	0	0	reviewed-stdlib	toolchain	
unicode/utf16	utf16	1	1	0	0	0	0	reviewed-stdlib	toolchain	
unicode/utf8	utf8	1	1	0	0	0	0	reviewed-stdlib	toolchain	
unique	unique	1	4	0	0	0	0	reviewed-stdlib	toolchain	
unsafe	unsafe	1	1	0	0	0	0	reviewed-stdlib	toolchain	
uuid	uuid	1	1	0	0	0	0	reviewed-stdlib	toolchain	
weak	weak	1	2	0	0	0	0	reviewed-stdlib	toolchain	
